waktu,stasiun,AOD
2023-01-01 07:00:00,Slipi,
2023-01-01 07:00:00,Menteng,
2023-01-01 07:00:00,Jagakarsa,
2023-01-01 07:00:00,Jatinegara,
2023-01-01 07:00:00,Kelapa Gading Indah,
2023-01-01 08:00:00,Slipi,
2023-01-01 08:00:00,Menteng,
2023-01-01 08:00:00,Jagakarsa,
2023-01-01 08:00:00,Jatinegara,
2023-01-01 08:00:00,Kelapa Gading Indah,
2023-01-01 09:00:00,Slipi,
2023-01-01 09:00:00,Menteng,
2023-01-01 09:00:00,Jagakarsa,
2023-01-01 09:00:00,Jatinegara,
2023-01-01 09:00:00,Kelapa Gading Indah,
2023-01-01 10:00:00,Slipi,
2023-01-01 10:00:00,Menteng,
2023-01-01 10:00:00,Jagakarsa,
2023-01-01 10:00:00,Jatinegara,
2023-01-01 10:00:00,Kelapa Gading Indah,
2023-01-01 11:00:00,Slipi,
2023-01-01 11:00:00,Menteng,
2023-01-01 11:00:00,Jagakarsa,
2023-01-01 11:00:00,Jatinegara,
2023-01-01 11:00:00,Kelapa Gading Indah,
2023-01-01 12:00:00,Slipi,
2023-01-01 12:00:00,Menteng,
2023-01-01 12:00:00,Jagakarsa,
2023-01-01 12:00:00,Jatinegara,
2023-01-01 12:00:00,Kelapa Gading Indah,
2023-01-01 13:00:00,Slipi,
2023-01-01 13:00:00,Menteng,
2023-01-01 13:00:00,Jagakarsa,
2023-01-01 13:00:00,Jatinegara,
2023-01-01 13:00:00,Kelapa Gading Indah,
2023-01-01 14:00:00,Slipi,
2023-01-01 14:00:00,Menteng,
2023-01-01 14:00:00,Jagakarsa,
2023-01-01 14:00:00,Jatinegara,
2023-01-01 14:00:00,Kelapa Gading Indah,
2023-01-01 15:00:00,Slipi,
2023-01-01 15:00:00,Menteng,
2023-01-01 15:00:00,Jagakarsa,
2023-01-01 15:00:00,Jatinegara,
2023-01-01 15:00:00,Kelapa Gading Indah,
2023-01-01 16:00:00,Slipi,
2023-01-01 16:00:00,Menteng,
2023-01-01 16:00:00,Jagakarsa,
2023-01-01 16:00:00,Jatinegara,
2023-01-01 16:00:00,Kelapa Gading Indah,
2023-01-02 07:00:00,Slipi,
2023-01-02 07:00:00,Menteng,
2023-01-02 07:00:00,Jagakarsa,
2023-01-02 07:00:00,Jatinegara,
2023-01-02 07:00:00,Kelapa Gading Indah,
2023-01-02 08:00:00,Slipi,
2023-01-02 08:00:00,Menteng,
2023-01-02 08:00:00,Jagakarsa,
2023-01-02 08:00:00,Jatinegara,
2023-01-02 08:00:00,Kelapa Gading Indah,
2023-01-02 09:00:00,Slipi,
2023-01-02 09:00:00,Menteng,
2023-01-02 09:00:00,Jagakarsa,
2023-01-02 09:00:00,Jatinegara,
2023-01-02 09:00:00,Kelapa Gading Indah,
2023-01-02 10:00:00,Slipi,
2023-01-02 10:00:00,Menteng,
2023-01-02 10:00:00,Jagakarsa,
2023-01-02 10:00:00,Jatinegara,
2023-01-02 10:00:00,Kelapa Gading Indah,
2023-01-02 11:00:00,Slipi,
2023-01-02 11:00:00,Menteng,
2023-01-02 11:00:00,Jagakarsa,
2023-01-02 11:00:00,Jatinegara,
2023-01-02 11:00:00,Kelapa Gading Indah,
2023-01-02 12:00:00,Slipi,
2023-01-02 12:00:00,Menteng,
2023-01-02 12:00:00,Jagakarsa,
2023-01-02 12:00:00,Jatinegara,
2023-01-02 12:00:00,Kelapa Gading Indah,
2023-01-02 13:00:00,Slipi,
2023-01-02 13:00:00,Menteng,
2023-01-02 13:00:00,Jagakarsa,
2023-01-02 13:00:00,Jatinegara,
2023-01-02 13:00:00,Kelapa Gading Indah,
2023-01-02 14:00:00,Slipi,
2023-01-02 14:00:00,Menteng,
2023-01-02 14:00:00,Jagakarsa,
2023-01-02 14:00:00,Jatinegara,
2023-01-02 14:00:00,Kelapa Gading Indah,
2023-01-02 15:00:00,Slipi,
2023-01-02 15:00:00,Menteng,
2023-01-02 15:00:00,Jagakarsa,
2023-01-02 15:00:00,Jatinegara,
2023-01-02 15:00:00,Kelapa Gading Indah,
2023-01-02 16:00:00,Slipi,
2023-01-02 16:00:00,Menteng,
2023-01-02 16:00:00,Jagakarsa,
2023-01-02 16:00:00,Jatinegara,
2023-01-02 16:00:00,Kelapa Gading Indah,
2023-01-03 07:00:00,Slipi,
2023-01-03 07:00:00,Menteng,
